run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,X_final,I_final,steps_run,converged,X0,I0_grid,beta_I_grid
0,123,erdos_renyi,"{""p"": 0.08}",60,2.0,2.0,1.5,1.0,0.08,0.0,0.0,random,imitate,1.0,none,0,0.0,0.0,1,True,0.0,0.0,1.5
1,124,erdos_renyi,"{""p"": 0.08}",60,1.775,2.0,1.5,1.0,0.08,0.15,0.0,random,imitate,1.0,none,0,0.0,0.13799999999999998,1,True,0.0,0.15,1.5
2,125,erdos_renyi,"{""p"": 0.08}",60,1.55,2.0,1.5,1.0,0.08,0.3,0.0,random,imitate,1.0,none,0,0.0,0.27599999999999997,1,True,0.0,0.3,1.5
3,126,erdos_renyi,"{""p"": 0.08}",60,2.0,2.0,1.5,1.0,0.08,0.0,0.3,random,imitate,1.0,none,18,0.9666666666666667,0.9596239087464796,60,False,0.3,0.0,1.5
4,127,erdos_renyi,"{""p"": 0.08}",60,1.775,2.0,1.5,1.0,0.08,0.15,0.3,random,imitate,1.0,none,18,0.0,0.1377056,3,True,0.3,0.15,1.5
5,128,erdos_renyi,"{""p"": 0.08}",60,1.55,2.0,1.5,1.0,0.08,0.3,0.3,random,imitate,1.0,none,18,0.0,0.27599999999999997,1,True,0.3,0.3,1.5
6,129,erdos_renyi,"{""p"": 0.08}",60,2.0,2.0,1.5,1.0,0.08,0.0,0.6,random,imitate,1.0,none,36,1.0,0.14624,2,True,0.6,0.0,1.5
7,130,erdos_renyi,"{""p"": 0.08}",60,1.775,2.0,1.5,1.0,0.08,0.15,0.6,random,imitate,1.0,none,36,1.0,0.3301173333333333,3,True,0.6,0.15,1.5
8,131,erdos_renyi,"{""p"": 0.08}",60,1.55,2.0,1.5,1.0,0.08,0.3,0.6,random,imitate,1.0,none,36,1.0,0.39648,2,True,0.6,0.3,1.5
9,132,erdos_renyi,"{""p"": 0.08}",60,2.0,2.0,2.0,1.0,0.08,0.0,0.0,random,imitate,1.0,none,0,0.0,0.0,1,True,0.0,0.0,2.0
10,133,erdos_renyi,"{""p"": 0.08}",60,1.7,2.0,2.0,1.0,0.08,0.15,0.0,random,imitate,1.0,none,0,0.0,0.13799999999999998,1,True,0.0,0.15,2.0
11,134,erdos_renyi,"{""p"": 0.08}",60,1.4,2.0,2.0,1.0,0.08,0.3,0.0,random,imitate,1.0,none,0,0.0,0.27599999999999997,1,True,0.0,0.3,2.0
12,135,erdos_renyi,"{""p"": 0.08}",60,2.0,2.0,2.0,1.0,0.08,0.0,0.3,random,imitate,1.0,none,18,0.0,0.015357866666666664,3,True,0.3,0.0,2.0
13,136,erdos_renyi,"{""p"": 0.08}",60,1.7,2.0,2.0,1.0,0.08,0.15,0.3,random,imitate,1.0,none,18,0.0,0.12941333333333332,2,True,0.3,0.15,2.0
14,137,erdos_renyi,"{""p"": 0.08}",60,1.4,2.0,2.0,1.0,0.08,0.3,0.3,random,imitate,1.0,none,18,0.016666666666666666,0.018579966812935136,60,False,0.3,0.3,2.0
15,138,erdos_renyi,"{""p"": 0.08}",60,2.0,2.0,2.0,1.0,0.08,0.0,0.6,random,imitate,1.0,none,36,0.9833333333333333,0.9766781646311729,60,False,0.6,0.0,2.0
16,139,erdos_renyi,"{""p"": 0.08}",60,1.7,2.0,2.0,1.0,0.08,0.15,0.6,random,imitate,1.0,none,36,1.0,0.3176053333333333,3,True,0.6,0.15,2.0
17,140,erdos_renyi,"{""p"": 0.08}",60,1.4,2.0,2.0,1.0,0.08,0.3,0.6,random,imitate,1.0,none,36,1.0,0.4435349333333333,3,True,0.6,0.3,2.0
