beta_I_grid,X0,I0_grid,n,X_mean,X_std,p_high,t_high_mean,bistable
1.5,0.0,0.0,5,0.0,0.0,0.0,,0
1.5,0.0,0.049999999999999996,5,0.0,0.0,0.0,,0
1.5,0.0,0.09999999999999999,5,0.0,0.0,0.0,,0
1.5,0.0,0.15,5,0.0,0.0,0.0,,0
1.5,0.0,0.19999999999999998,5,0.0,0.0,0.0,,0
1.5,0.0,0.24999999999999997,5,0.0,0.0,0.0,,0
1.5,0.0,0.3,5,0.0,0.0,0.0,,0
1.5,0.09999999999999999,0.0,5,0.0,0.0,0.0,,0
1.5,0.09999999999999999,0.049999999999999996,5,0.0,0.0,0.0,,0
1.5,0.09999999999999999,0.09999999999999999,5,0.0,0.0,0.0,,0
1.5,0.09999999999999999,0.15,5,0.0,0.0,0.0,,0
1.5,0.09999999999999999,0.19999999999999998,5,0.0,0.0,0.0,,0
1.5,0.09999999999999999,0.24999999999999997,5,0.0,0.0,0.0,,0
1.5,0.09999999999999999,0.3,5,0.0,0.0,0.0,,0
1.5,0.19999999999999998,0.0,5,0.0,0.0,0.0,,0
1.5,0.19999999999999998,0.049999999999999996,5,0.0,0.0,0.0,,0
1.5,0.19999999999999998,0.09999999999999999,5,0.0,0.0,0.0,,0
1.5,0.19999999999999998,0.15,5,0.0,0.0,0.0,,0
1.5,0.19999999999999998,0.19999999999999998,5,0.0,0.0,0.0,,0
1.5,0.19999999999999998,0.24999999999999997,5,0.0,0.0,0.0,,0
1.5,0.19999999999999998,0.3,5,0.0,0.0,0.0,,0
1.5,0.3,0.0,5,0.21800000000000003,0.43888495075589,0.2,6.0,1
1.5,0.3,0.049999999999999996,5,0.2,0.447213595499958,0.2,4.0,1
1.5,0.3,0.09999999999999999,5,0.012666666666666668,0.02832352771499734,0.0,,0
1.5,0.3,0.15,5,0.2,0.447213595499958,0.2,3.0,1
1.5,0.3,0.19999999999999998,5,0.09533333333333334,0.10691637438255709,0.0,,0
1.5,0.3,0.24999999999999997,5,0.6,0.5477225575051661,0.6,5.666666666666667,1
1.5,0.3,0.3,5,0.2,0.4472135954999579,0.2,3.0,1
1.5,0.39999999999999997,0.0,5,1.0,0.0,1.0,1.2,0
1.5,0.39999999999999997,0.049999999999999996,5,1.0,0.0,1.0,2.4,0
1.5,0.39999999999999997,0.09999999999999999,5,1.0,0.0,1.0,1.6,0
1.5,0.39999999999999997,0.15,5,0.8146666666666667,0.414417931829961,0.8,2.25,1
1.5,0.39999999999999997,0.19999999999999998,5,1.0,0.0,1.0,2.4,0
1.5,0.39999999999999997,0.24999999999999997,5,0.6306666666666667,0.5057359873381456,0.6,1.3333333333333333,1
1.5,0.39999999999999997,0.3,5,1.0,0.0,1.0,1.8,0
1.5,0.49999999999999994,0.0,5,1.0,0.0,1.0,0.4,0
1.5,0.49999999999999994,0.049999999999999996,5,1.0,0.0,1.0,0.4,0
1.5,0.49999999999999994,0.09999999999999999,5,1.0,0.0,1.0,0.0,0
1.5,0.49999999999999994,0.15,5,1.0,0.0,1.0,0.0,0
1.5,0.49999999999999994,0.19999999999999998,5,1.0,0.0,1.0,0.4,0
1.5,0.49999999999999994,0.24999999999999997,5,1.0,0.0,1.0,0.4,0
1.5,0.49999999999999994,0.3,5,1.0,0.0,1.0,0.0,0
1.5,0.6,0.0,5,1.0,0.0,1.0,0.0,0
1.5,0.6,0.049999999999999996,5,1.0,0.0,1.0,0.0,0
1.5,0.6,0.09999999999999999,5,1.0,0.0,1.0,0.0,0
1.5,0.6,0.15,5,1.0,0.0,1.0,0.0,0
1.5,0.6,0.19999999999999998,5,1.0,0.0,1.0,0.0,0
1.5,0.6,0.24999999999999997,5,1.0,0.0,1.0,0.0,0
1.5,0.6,0.3,5,1.0,0.0,1.0,0.0,0
2.0,0.0,0.0,5,0.0,0.0,0.0,,0
2.0,0.0,0.049999999999999996,5,0.0,0.0,0.0,,0
2.0,0.0,0.09999999999999999,5,0.0,0.0,0.0,,0
2.0,0.0,0.15,5,0.0,0.0,0.0,,0
2.0,0.0,0.19999999999999998,5,0.0,0.0,0.0,,0
2.0,0.0,0.24999999999999997,5,0.0,0.0,0.0,,0
2.0,0.0,0.3,5,0.0,0.0,0.0,,0
2.0,0.09999999999999999,0.0,5,0.0,0.0,0.0,,0
2.0,0.09999999999999999,0.049999999999999996,5,0.0,0.0,0.0,,0
2.0,0.09999999999999999,0.09999999999999999,5,0.0,0.0,0.0,,0
2.0,0.09999999999999999,0.15,5,0.0,0.0,0.0,,0
2.0,0.09999999999999999,0.19999999999999998,5,0.0,0.0,0.0,,0
2.0,0.09999999999999999,0.24999999999999997,5,0.0,0.0,0.0,,0
2.0,0.09999999999999999,0.3,5,0.0,0.0,0.0,,0
2.0,0.19999999999999998,0.0,5,0.0,0.0,0.0,,0
2.0,0.19999999999999998,0.049999999999999996,5,0.0,0.0,0.0,,0
2.0,0.19999999999999998,0.09999999999999999,5,0.0,0.0,0.0,,0
2.0,0.19999999999999998,0.15,5,0.0,0.0,0.0,,0
2.0,0.19999999999999998,0.19999999999999998,5,0.0,0.0,0.0,,0
2.0,0.19999999999999998,0.24999999999999997,5,0.0,0.0,0.0,,0
2.0,0.19999999999999998,0.3,5,0.0,0.0,0.0,,0
2.0,0.3,0.0,5,0.21333333333333332,0.4407065034943576,0.2,5.0,1
2.0,0.3,0.049999999999999996,5,0.21800000000000003,0.43888495075588996,0.2,8.0,1
2.0,0.3,0.09999999999999999,5,0.26066666666666666,0.4202142310774351,0.2,5.0,1
2.0,0.3,0.15,5,0.0,0.0,0.0,,0
2.0,0.3,0.19999999999999998,5,0.06533333333333333,0.07120393247567161,0.0,,0
2.0,0.3,0.24999999999999997,5,0.2,0.447213595499958,0.2,4.0,1
2.0,0.3,0.3,5,0.21866666666666665,0.43864437633336745,0.2,7.0,1
2.0,0.39999999999999997,0.0,5,0.8353333333333334,0.3682058602949653,0.8,1.5,1
2.0,0.39999999999999997,0.049999999999999996,5,0.8253333333333334,0.3905665400699633,0.8,1.75,1
2.0,0.39999999999999997,0.09999999999999999,5,1.0,0.0,1.0,1.8,0
2.0,0.39999999999999997,0.15,5,0.8106666666666665,0.42336220373996014,0.8,1.75,1
2.0,0.39999999999999997,0.19999999999999998,5,1.0,0.0,1.0,1.4,0
2.0,0.39999999999999997,0.24999999999999997,5,1.0,0.0,1.0,1.4,0
2.0,0.39999999999999997,0.3,5,1.0,0.0,1.0,1.0,0
2.0,0.49999999999999994,0.0,5,1.0,0.0,1.0,0.4,0
2.0,0.49999999999999994,0.049999999999999996,5,1.0,0.0,1.0,0.2,0
2.0,0.49999999999999994,0.09999999999999999,5,1.0,0.0,1.0,0.4,0
2.0,0.49999999999999994,0.15,5,1.0,0.0,1.0,0.0,0
2.0,0.49999999999999994,0.19999999999999998,5,1.0,0.0,1.0,0.2,0
2.0,0.49999999999999994,0.24999999999999997,5,1.0,0.0,1.0,0.2,0
2.0,0.49999999999999994,0.3,5,1.0,0.0,1.0,0.4,0
2.0,0.6,0.0,5,1.0,0.0,1.0,0.0,0
2.0,0.6,0.049999999999999996,5,1.0,0.0,1.0,0.0,0
2.0,0.6,0.09999999999999999,5,1.0,0.0,1.0,0.0,0
2.0,0.6,0.15,5,1.0,0.0,1.0,0.0,0
2.0,0.6,0.19999999999999998,5,1.0,0.0,1.0,0.0,0
2.0,0.6,0.24999999999999997,5,1.0,0.0,1.0,0.0,0
2.0,0.6,0.3,5,1.0,0.0,1.0,0.0,0
2.5,0.0,0.0,5,0.0,0.0,0.0,,0
2.5,0.0,0.049999999999999996,5,0.0,0.0,0.0,,0
2.5,0.0,0.09999999999999999,5,0.0,0.0,0.0,,0
2.5,0.0,0.15,5,0.0,0.0,0.0,,0
2.5,0.0,0.19999999999999998,5,0.0,0.0,0.0,,0
2.5,0.0,0.24999999999999997,5,0.0,0.0,0.0,,0
2.5,0.0,0.3,5,0.0,0.0,0.0,,0
2.5,0.09999999999999999,0.0,5,0.0,0.0,0.0,,0
2.5,0.09999999999999999,0.049999999999999996,5,0.0,0.0,0.0,,0
2.5,0.09999999999999999,0.09999999999999999,5,0.0,0.0,0.0,,0
2.5,0.09999999999999999,0.15,5,0.0,0.0,0.0,,0
2.5,0.09999999999999999,0.19999999999999998,5,0.0,0.0,0.0,,0
2.5,0.09999999999999999,0.24999999999999997,5,0.0,0.0,0.0,,0
2.5,0.09999999999999999,0.3,5,0.0,0.0,0.0,,0
2.5,0.19999999999999998,0.0,5,0.014666666666666666,0.032795663669996915,0.0,,0
2.5,0.19999999999999998,0.049999999999999996,5,0.0,0.0,0.0,,0
2.5,0.19999999999999998,0.09999999999999999,5,0.0,0.0,0.0,,0
2.5,0.19999999999999998,0.15,5,0.0,0.0,0.0,,0
2.5,0.19999999999999998,0.19999999999999998,5,0.0,0.0,0.0,,0
2.5,0.19999999999999998,0.24999999999999997,5,0.0,0.0,0.0,,0
2.5,0.19999999999999998,0.3,5,0.0,0.0,0.0,,0
2.5,0.3,0.0,5,0.015333333333333332,0.03428637565499677,0.0,,0
2.5,0.3,0.049999999999999996,5,0.0,0.0,0.0,,0
2.5,0.3,0.09999999999999999,5,0.023333333333333334,0.05217491947499509,0.0,,0
2.5,0.3,0.15,5,0.21533333333333332,0.43989645246226855,0.2,3.0,1
2.5,0.3,0.19999999999999998,5,0.04066666666666667,0.05917957605645906,0.0,,0
2.5,0.3,0.24999999999999997,5,0.23133333333333334,0.4314806549030391,0.2,4.0,1
2.5,0.3,0.3,5,0.21533333333333332,0.4398964524622685,0.2,2.0,1
2.5,0.39999999999999997,0.0,5,0.834,0.37118728426496517,0.8,6.0,1
2.5,0.39999999999999997,0.049999999999999996,5,1.0,0.0,1.0,1.6,0
2.5,0.39999999999999997,0.09999999999999999,5,1.0,0.0,1.0,2.4,0
2.5,0.39999999999999997,0.15,5,0.8106666666666668,0.42336220373996014,0.8,2.25,1
2.5,0.39999999999999997,0.19999999999999998,5,0.8379999999999999,0.362243012354966,0.8,1.5,1
2.5,0.39999999999999997,0.24999999999999997,5,1.0,0.0,1.0,2.0,0
2.5,0.39999999999999997,0.3,5,0.844,0.3488266044899672,0.8,2.0,1
2.5,0.49999999999999994,0.0,5,1.0,0.0,1.0,0.2,0
2.5,0.49999999999999994,0.049999999999999996,5,1.0,0.0,1.0,0.0,0
2.5,0.49999999999999994,0.09999999999999999,5,1.0,0.0,1.0,0.2,0
2.5,0.49999999999999994,0.15,5,1.0,0.0,1.0,0.6,0
2.5,0.49999999999999994,0.19999999999999998,5,1.0,0.0,1.0,0.2,0
2.5,0.49999999999999994,0.24999999999999997,5,1.0,0.0,1.0,0.2,0
2.5,0.49999999999999994,0.3,5,1.0,0.0,1.0,0.0,0
2.5,0.6,0.0,5,1.0,0.0,1.0,0.0,0
2.5,0.6,0.049999999999999996,5,1.0,0.0,1.0,0.0,0
2.5,0.6,0.09999999999999999,5,1.0,0.0,1.0,0.0,0
2.5,0.6,0.15,5,1.0,0.0,1.0,0.0,0
2.5,0.6,0.19999999999999998,5,1.0,0.0,1.0,0.0,0
2.5,0.6,0.24999999999999997,5,1.0,0.0,1.0,0.0,0
2.5,0.6,0.3,5,1.0,0.0,1.0,0.0,0
