run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,X_final,I_final,steps_run,converged,policy_label
0,777,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",80,1.76,1.8,2.0,1.0,0.08,0.02,0.08,random,imitate,1.0,none,6,0.0,0.0184,1,True,baseline
1,778,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",80,1.76,1.8,2.0,1.0,0.08,0.02,0.08,random,imitate,1.0,none,6,0.0,0.0184,1,True,baseline
2,779,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",80,1.76,1.8,2.0,1.0,0.08,0.02,0.08,random,imitate,1.0,targeted_seed:degree:4,6,0.0,0.06440000000000001,1,True,early_hubs_seed
3,780,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",80,1.76,1.8,2.0,1.0,0.08,0.02,0.08,random,imitate,1.0,targeted_seed:degree:4,6,0.0,0.06440000000000001,1,True,early_hubs_seed
4,781,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",80,1.76,1.8,2.0,1.0,0.08,0.02,0.08,random,imitate,1.0,targeted_seed:degree:4,6,0.0,0.0184,1,True,mid_hubs_seed
5,782,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",80,1.76,1.8,2.0,1.0,0.08,0.02,0.08,random,imitate,1.0,targeted_seed:degree:4,6,0.0,0.0184,1,True,mid_hubs_seed
6,783,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",80,1.76,1.8,2.0,1.0,0.08,0.02,0.08,random,imitate,1.0,"infra:{'start': 10, 'boost': 0.15, 'once': True}",6,0.0,0.0184,1,True,infra_shock
7,784,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",80,1.76,1.8,2.0,1.0,0.08,0.02,0.08,random,imitate,1.0,"infra:{'start': 10, 'boost': 0.15, 'once': True}",6,0.0,0.0184,1,True,infra_shock
8,785,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",80,1.76,1.8,2.0,1.0,0.08,0.02,0.08,random,imitate,1.0,"subsidy:{'start': 5, 'end': 40, 'delta_a0': 0.3, 'delta_beta_I': 0.0}",6,0.0,0.0184,1,True,time_limited_subsidy
9,786,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",80,1.76,1.8,2.0,1.0,0.08,0.02,0.08,random,imitate,1.0,"subsidy:{'start': 5, 'end': 40, 'delta_a0': 0.3, 'delta_beta_I': 0.0}",6,0.0,0.0184,1,True,time_limited_subsidy
